price,volume,time,buy/sell,market/limit,misc
0.78296800,50.39758271,2025-02-16 00:32:44.757817745,b,l,
0.78305700,55.48772138,2025-02-16 00:32:46.939649105,b,l,
0.78306600,46.49627182,2025-02-16 00:32:46.939649105,b,l,
0.78311200,4.42617952,2025-02-16 00:32:50.407897949,b,l,
0.78317000,5.65123709,2025-02-16 00:32:52.493973255,b,l,
0.78328600,40.11209840,2025-02-16 00:32:54.996896744,b,l,
0.78331400,310.62659126,2025-02-16 00:32:57.569512367,b,l,
0.78332400,302.21548295,2025-02-16 00:32:59.843701839,b,l,
0.78333500,302.20866564,2025-02-16 00:33:02.009594679,b,l,
0.78334600,285.60275448,2025-02-16 00:33:04.166077375,b,l,
0.78336200,276.45490742,2025-02-16 00:33:20.031304836,b,l,
0.78338400,273.56838720,2025-02-16 00:33:22.420974493,b,l,
0.78339500,265.70840219,2025-02-16 00:33:24.760922432,b,l,
0.78339600,259.03738823,2025-02-16 00:33:28.201779604,b,l,
0.78341500,253.86561599,2025-02-16 00:33:32.805774927,b,l,
0.78311200,286.52407528,2025-02-16 00:35:00.849615097,b,l,
0.78313300,279.24692259,2025-02-16 00:35:03.119317770,b,l,
0.78299300,271.56645515,2025-02-16 00:35:12.282460928,b,l,
0.78303300,265.34392672,2025-02-16 00:35:14.550686836,b,l,
0.78303300,258.87309071,2025-02-16 00:35:16.562831163,b,l,
0.78327800,252.58264398,2025-02-16 00:35:19.733405828,b,m,
0.78362900,1145.02462875,2025-02-16 00:35:19.733405828,b,m,
0.78390100,33.69520138,2025-02-16 00:35:40.173723459,b,l,
0.78390200,50.37459690,2025-02-16 00:35:40.173723459,b,l,
0.78409800,17.13667614,2025-02-16 00:35:42.286500931,b,l,
0.78435000,40.03130585,2025-02-16 00:35:46.316885710,b,l,
0.78435600,48.96991151,2025-02-16 00:35:46.316885948,b,l,
0.78436100,75.79723570,2025-02-16 00:35:46.316885948,b,l,
0.78436300,33.64838542,2025-02-16 00:35:48.370839834,b,l,
0.78442000,35.02718333,2025-02-16 00:35:53.316745996,b,l,
0.78447900,23.54254681,2025-02-16 00:36:00.662322521,b,l,
0.78455300,245.12890791,2025-02-16 00:36:22.384712696,b,l,
0.78456100,240.23137123,2025-02-16 00:36:24.396649122,b,l,
0.78459300,238.23402538,2025-02-16 00:36:27.960614204,b,l,
0.78546200,29.80364689,2025-02-16 00:37:00.014211178,b,l,
0.78552800,14.52248057,2025-02-16 00:37:00.021357775,b,l,
0.78580400,18.36011121,2025-02-16 00:37:00.462661743,b,l,
0.78603300,43.92214901,2025-02-16 00:37:00.658760786,b,l,
0.78710700,320.56024000,2025-02-16 00:37:08.317595482,s,l,
0.78678300,189.04205019,2025-02-16 00:37:33.240980148,b,l,
0.78663700,8.80000000,2025-02-16 00:38:40.275867939,s,l,
0.78614100,43.91615736,2025-02-16 00:38:47.678975821,b,l,
0.78625800,5000.00000000,2025-02-16 00:38:57.339627743,b,l,
0.78580700,80.13005000,2025-02-16 00:40:19.286332607,s,l,
0.78580700,240.39015000,2025-02-16 00:40:19.286332607,s,l,
0.78547800,175.38110533,2025-02-16 00:40:28.368331432,b,l,
0.78548900,131.51953062,2025-02-16 00:40:30.620619774,b,l,
0.78550100,800.00000000,2025-02-16 00:41:15.444510698,s,l,
0.78549200,3181.94137660,2025-02-16 00:41:15.444510698,s,l,
0.78549200,3181.94137660,2025-02-16 00:41:15.444510698,s,l,
0.78549200,3181.94137660,2025-02-16 00:41:15.444510698,s,l,
0.78540500,3182.29565058,2025-02-16 00:41:15.444510698,s,l,
0.78539200,234.67502076,2025-02-16 00:41:15.444510937,s,l,
0.78523300,1815.28820521,2025-02-16 00:41:15.445369482,s,l,
0.78523200,6365.99382339,2025-02-16 00:41:15.445369482,s,l,
0.78519900,320.40008000,2025-02-16 00:41:15.445369482,s,l,
0.78447900,62.74640564,2025-02-16 00:41:20.887809515,s,l,
0.78273700,6.44064303,2025-02-16 00:41:23.746643305,s,l,
0.78260000,341.31885094,2025-02-16 00:42:23.753747463,b,l,
0.78259600,332.00348069,2025-02-16 00:42:44.756074905,b,l,
0.78276800,331.73185186,2025-02-16 00:42:59.298868656,b,l,
0.78262200,353.20317009,2025-02-16 00:44:03.685877085,b,l,
0.78010200,338.17656930,2025-02-16 00:50:06.137927294,b,l,
0.78043600,311.43898706,2025-02-16 00:51:29.470516205,b,l,
0.78040500,307.85495322,2025-02-16 00:52:32.885351896,b,l,
0.78037300,300.60372565,2025-02-16 00:52:53.938996792,b,l,
0.78011900,327.51239656,2025-02-16 00:57:53.558759928,b,l,
0.78020600,323.59279374,2025-02-16 01:00:00.690559864,b,l,
0.77984600,12.07923461,2025-02-16 01:04:30.609867573,b,l,
0.77987200,54.37971775,2025-02-16 01:04:37.092727900,b,l,
0.77939400,153.96498323,2025-02-16 01:08:41.477098227,b,m,
0.77954100,150.65282900,2025-02-16 01:09:38.051962614,b,m,
0.77890300,432.31136450,2025-02-16 01:12:19.565867186,b,l,
0.77889800,414.89859138,2025-02-16 01:12:21.611008406,b,l,
0.77812500,2077.48219635,2025-02-16 01:17:04.617080212,b,l,
0.77771300,13.47785720,2025-02-16 01:19:48.286650181,b,l,
0.77840100,49.39160051,2025-02-16 01:22:03.999621391,b,l,
0.77841000,21.05588089,2025-02-16 01:22:03.999621391,b,l,
0.77867700,31.41333123,2025-02-16 01:22:23.389311552,b,l,
0.77766300,693.00370136,2025-02-16 01:27:03.866861820,b,l,
0.77814100,724.11456525,2025-02-16 01:28:33.194321632,b,l,
0.77837600,678.20115075,2025-02-16 01:28:43.811015129,b,l,
0.77877300,33.91805134,2025-02-16 01:29:20.597880602,b,l,
0.77916700,189.24010220,2025-02-16 01:29:44.122525930,b,l,
0.77919400,22.44470680,2025-02-16 01:29:46.752309322,b,l,
0.77906400,18.73993400,2025-02-16 01:30:05.915597439,b,l,
0.77879400,1676.82545124,2025-02-16 01:32:03.468898296,b,l,
0.77904100,1531.10199980,2025-02-16 01:32:15.088848352,b,m,
0.77904200,3208.28156343,2025-02-16 01:32:15.088848352,b,m,
0.77904400,990.00000000,2025-02-16 01:32:15.088848352,b,m,
0.77906200,3208.19924050,2025-02-16 01:32:15.088848352,b,m,
0.77906300,36.52641951,2025-02-16 01:32:15.088848352,b,m,
0.77910300,948.10000000,2025-02-16 01:32:15.088848352,b,m,
0.77911000,3208.00234641,2025-02-16 01:32:15.088848591,b,m,
0.77916400,5876.59157689,2025-02-16 01:32:15.088848591,b,m,
0.77924400,4490.43467247,2025-02-16 01:32:15.088848591,b,m,
0.77925200,3576.96435000,2025-02-16 01:32:15.088848591,b,m,
0.77929200,26.18179703,2025-02-16 01:32:15.088848591,b,m,
0.77931300,30.10391767,2025-02-16 01:32:15.088848591,b,m,
0.77942800,236.25439586,2025-02-16 01:32:15.088848591,b,m,
0.77946300,2077.48219635,2025-02-16 01:32:15.088848591,b,m,
0.77946400,54.47785653,2025-02-16 01:32:15.088848591,b,m,
0.77947800,4039.18279365,2025-02-16 01:32:15.088848591,b,m,
0.77794400,1202.89883969,2025-02-16 01:32:58.868153572,b,l,
0.77702200,43.95731487,2025-02-16 01:33:42.888497114,s,l,
0.77751500,64.34501281,2025-02-16 01:36:09.304656506,b,m,
0.77779000,37.80539263,2025-02-16 01:39:04.115822792,b,l,
0.77808000,12.09325837,2025-02-16 01:39:31.236143827,b,l,
0.77815900,8.23698329,2025-02-16 01:39:35.893627644,b,l,
0.77816400,37.80260346,2025-02-16 01:39:35.893627644,b,l,
0.77704800,1740.50084545,2025-02-16 01:43:27.669662237,b,l,
0.77703500,1740.69349903,2025-02-16 01:44:17.664088011,b,l,
0.77700300,1785.37092641,2025-02-16 01:46:05.223569393,b,l,
0.77756900,24.95135301,2025-02-16 01:48:01.541070223,b,l,
0.77751700,1441.00586061,2025-02-16 01:50:15.444782019,b,l,
0.77779900,55.80102296,2025-02-16 01:50:27.352495432,b,l,
0.77782300,1199.02886658,2025-02-16 01:50:43.513875961,b,l,
0.77793500,151.02599464,2025-02-16 01:51:31.072607994,b,l,
0.77868800,46.79168686,2025-02-16 01:52:10.650095701,b,l,
0.77891700,39.11740972,2025-02-16 01:52:15.148869514,b,l,
0.77894700,27.47871801,2025-02-16 01:53:23.718141317,b,l,
0.77898500,14.68610740,2025-02-16 01:53:26.372983456,b,l,
0.77900900,31.42593417,2025-02-16 01:53:34.735682726,b,l,
0.77907500,51.94486121,2025-02-16 01:53:36.881443739,b,l,
0.77921400,1683.51960429,2025-02-16 01:54:44.947953701,b,l,
0.77951600,24.89631331,2025-02-16 01:55:09.035834789,b,l,
0.77954000,26.21501387,2025-02-16 01:55:12.404914856,b,l,
0.77991200,1847.16843235,2025-02-16 01:56:27.564588070,b,l,
0.77992500,21.04128335,2025-02-16 01:56:37.112294912,b,l,
0.77999200,54.41091693,2025-02-16 01:56:40.189109802,b,l,
0.77999300,6.91733127,2025-02-16 01:56:40.189109802,b,l,
0.78002200,1641.84841867,2025-02-16 01:57:08.710110664,b,l,
0.78010200,40.31767578,2025-02-16 01:57:14.296628475,b,l,
0.78025300,36.45176617,2025-02-16 01:57:17.111701250,b,l,
0.78035300,21.06351285,2025-02-16 01:57:26.383643627,b,l,
0.78036000,45.46498597,2025-02-16 01:57:26.383643627,b,l,
0.78049000,53.12342890,2025-02-16 01:57:28.585570097,b,l,
0.78059100,45.36401775,2025-02-16 01:57:31.112876415,b,l,
0.78064800,53.09145322,2025-02-16 01:57:33.568941832,b,l,
0.78060300,755.29420338,2025-02-16 01:57:49.904191017,b,l,
0.78098700,27.46250769,2025-02-16 01:57:50.109953403,b,l,
0.78106600,40.24532749,2025-02-16 01:57:50.252471447,b,l,
0.78110400,50.43419308,2025-02-16 01:57:51.958995581,b,l,
0.78119900,6.40000000,2025-02-16 02:00:56.250608206,b,m,
0.78143900,9.49781050,2025-02-16 02:01:44.655860901,b,l,
0.78150000,157.98932110,2025-02-16 02:01:47.362412453,b,l,
0.78153100,5.73389315,2025-02-16 02:01:49.372778654,b,l,
0.78154100,32.58304921,2025-02-16 02:01:49.372778654,b,l,
0.78161800,5.68223040,2025-02-16 02:01:51.413584709,b,l,
0.78172400,40.26946989,2025-02-16 02:01:53.574221134,b,l,
0.78059000,4.00000000,2025-02-16 02:02:30.106353521,s,l,
0.77616900,5000.00000000,2025-02-16 02:21:03.941589117,s,l,
0.77744700,64.32580764,2025-02-16 02:23:13.708056211,b,m,
0.77741400,6.43130657,2025-02-16 02:23:19.347743273,b,m,
0.77736700,990.00000000,2025-02-16 02:23:34.717905283,b,m,
0.77739000,287.18696459,2025-02-16 02:23:34.717905521,b,m,
0.77835000,53.24760741,2025-02-16 02:31:40.718098640,b,l,
0.77904200,1397.60727273,2025-02-16 02:38:42.241026878,s,m,
0.77881100,770.95840800,2025-02-16 02:39:17.414372683,s,m,
0.77469900,28.46266744,2025-02-16 02:49:48.977231503,s,l,
0.77469200,172.11141073,2025-02-16 02:49:48.977231503,s,l,
